,name,offices
182,Tata Communications,"[{'country_code': 'NLD'}, {'country_code': 'SGP'}, {'country_code': 'AUS'}, {'country_code': 'ARE'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'CAN'}, {'country_code': 'GBR'}, {'country_code': 'FRA'}, {'country_code': 'ESP'}, {'country_code': 'DEU'}]"
183,Bywave,[{'country_code': 'AUS'}]
184,March Hare Software,"[{'country_code': 'USA'}, {'country_code': 'GBR'}, {'country_code': 'AUS'}]"
185,Jimojo,[{'country_code': 'AUS'}]
186,VisualPin,[{'country_code': 'AUS'}]
187,Marvel Internet Group,[{'country_code': 'AUS'}]
188,Travellr,[{'country_code': 'AUS'}]
189,Dot Com Infoway Australia,"[{'country_code': 'IND'}, {'country_code': 'AUS'}, {'country_code': 'USA'}]"
190,Glynx,[{'country_code': 'AUS'}]
191,Quickflix,[{'country_code': 'AUS'}]
192,Civic Video,[{'country_code': 'AUS'}]
193,SEOValley,"[{'country_code': 'IND'}, {'country_code': 'GBR'}, {'country_code': 'AUS'}]"
194,Join The Clicks,[{'country_code': 'AUS'}]
195,Storyz,[{'country_code': 'AUS'}]
196,Watchmynumbers,[{'country_code': 'AUS'}]
197,Codesion,"[{'country_code': 'USA'}, {'country_code': 'AUS'}]"
198,Deep Shift Labs,"[{'country_code': 'AUS'}, {'country_code': 'UKR'}, {'country_code': 'USA'}]"
199,ePartners,"[{'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'GBR'}, {'country_code': 'GBR'}, {'country_code': 'AUS'}]"
200,Internet Marketing Academy Australia,[{'country_code': 'AUS'}]
201,iconDial,[{'country_code': 'AUS'}]
202,StudioEmotion,[{'country_code': 'AUS'}]
203,Surfkitchen,"[{'country_code': 'GBR'}, {'country_code': 'AUS'}]"
204,iDlogik,[{'country_code': 'AUS'}]
205,Save My Musik,[{'country_code': 'AUS'}]
206,Axle IT,[{'country_code': 'AUS'}]
207,MeBeam,[{'country_code': 'AUS'}]
208,Telegram Stop,[{'country_code': 'AUS'}]
209,Freshview,[{'country_code': 'AUS'}]
210,PC Tools,[{'country_code': 'AUS'}]
211,Paymate,[{'country_code': 'AUS'}]
212,OE Design,[{'country_code': 'AUS'}]
213,HealthEngine,[{'country_code': 'AUS'}]
214,Pointlogic,"[{'country_code': 'USA'}, {'country_code': 'GBR'}, {'country_code': 'DEU'}, {'country_code': 'NLD'}, {'country_code': 'AUS'}]"
215,HEDLOC,"[{'country_code': 'AUS'}, {'country_code': 'AUS'}, {'country_code': 'AUS'}, {'country_code': 'AUS'}, {'country_code': 'AUS'}]"
216,Loop11,[{'country_code': 'AUS'}]
217,Trigora,[{'country_code': 'AUS'}]
218,WebFM,[{'country_code': 'AUS'}]
219,Kinetic Data,"[{'country_code': 'USA'}, {'country_code': 'AUS'}]"
220,MYOB,"[{'country_code': 'AUS'}, {'country_code': 'AUS'}]"
221,HI-TECH Software,[{'country_code': 'AUS'}]
222,Jumbilo,[{'country_code': 'AUS'}]
223,Campaign Monitor,[{'country_code': 'AUS'}]
